,Player,born,height,weight,Year
0,Curly Armstrong,1918.0,180.0,77.0,1949
1,Curly Armstrong,1918.0,180.0,77.0,1950
2,Curly Armstrong,1918.0,180.0,77.0,1951
6,Leo Barnhorst,1924.0,193.0,86.0,1950
7,Leo Barnhorst,1924.0,193.0,86.0,1951
8,Leo Barnhorst,1924.0,193.0,86.0,1952
9,Leo Barnhorst,1924.0,193.0,86.0,1953
10,Leo Barnhorst,1924.0,193.0,86.0,1954
30,Ed Bartels,1925.0,196.0,88.0,1950
32,Ed Bartels,1925.0,196.0,88.0,1951
39,Ralph Beard,1927.0,178.0,79.0,1950
40,Ralph Beard,1927.0,178.0,79.0,1951
43,Gene Berce,1926.0,180.0,79.0,1950
44,Charlie Black,1921.0,196.0,90.0,1949
46,Charlie Black,1921.0,196.0,90.0,1950
48,Charlie Black,1921.0,196.0,90.0,1952
59,Nelson Bobb,1924.0,183.0,77.0,1950
60,Nelson Bobb,1924.0,183.0,77.0,1951
61,Nelson Bobb,1924.0,183.0,77.0,1952
62,Nelson Bobb,1924.0,183.0,77.0,1953
75,Jake Bornheimer,1927.0,196.0,90.0,1949
76,Jake Bornheimer,1927.0,196.0,90.0,1950
77,Vince Boryla,1927.0,196.0,95.0,1950
78,Vince Boryla,1927.0,196.0,95.0,1951
79,Vince Boryla,1927.0,196.0,95.0,1952
80,Vince Boryla,1927.0,196.0,95.0,1953
81,Vince Boryla,1927.0,196.0,95.0,1954
102,Don Boven,1925.0,193.0,95.0,1950
103,Don Boven,1925.0,193.0,95.0,1952
104,Don Boven,1925.0,193.0,95.0,1953
127,Harry Boykoff,1922.0,208.0,102.0,1950
128,Harry Boykoff,1922.0,208.0,102.0,1951
136,Joe Bradley,1928.0,190.0,79.0,1950
137,Bob Brannum,1925.0,196.0,97.0,1950
138,Bob Brannum,1925.0,196.0,97.0,1952
139,Bob Brannum,1925.0,196.0,97.0,1953
140,Bob Brannum,1925.0,196.0,97.0,1954
141,Bob Brannum,1925.0,196.0,97.0,1955
162,Carl Braun,1927.0,196.0,81.0,1948
163,Carl Braun,1927.0,196.0,81.0,1949
164,Carl Braun,1927.0,196.0,81.0,1950
165,Carl Braun,1927.0,196.0,81.0,1953
166,Carl Braun,1927.0,196.0,81.0,1954
167,Carl Braun,1927.0,196.0,81.0,1955
168,Carl Braun,1927.0,196.0,81.0,1956
169,Carl Braun,1927.0,196.0,81.0,1957
170,Carl Braun,1927.0,196.0,81.0,1958
171,Carl Braun,1927.0,196.0,81.0,1959
172,Carl Braun,1927.0,196.0,81.0,1960
173,Carl Braun,1927.0,196.0,81.0,1961
174,Carl Braun,1927.0,196.0,81.0,1962
305,Frankie Brian,1923.0,185.0,81.0,1950
306,Frankie Brian,1923.0,185.0,81.0,1951
307,Frankie Brian,1923.0,185.0,81.0,1952
308,Frankie Brian,1923.0,185.0,81.0,1953
309,Frankie Brian,1923.0,185.0,81.0,1954
310,Frankie Brian,1923.0,185.0,81.0,1955
311,Frankie Brian,1923.0,185.0,81.0,1956
354,Price Brookfield,1920.0,193.0,83.0,1949
355,Price Brookfield,1920.0,193.0,83.0,1950
356,Bob Brown,1923.0,193.0,92.0,1949
357,Bob Brown,1923.0,193.0,92.0,1950
358,Walt Budko,1925.0,196.0,99.0,1949
