hamilton,max_verstappen,bottas,norris,perez,leclerc,ricciardo,sainz,tsunoda,stroll,raikkonen,giovinazzi,ocon,russell,vettel,mick_schumacher,gasly,latifi,alonso,mazepin
1.0,13.0,14.0,12.0,22.0,13.0,19.0,9.0,9.0,16.0,8,12.0,16.0,16.0,20.0,16.0,14.0,11.0,4.0,20.0
5.0,7.0,11.0,6.0,21.0,12.0,19.0,8.0,,20.0,1,19.0,18.0,15.0,18.0,,13.0,17.0,8.0,
13.0,17.0,13.0,18.0,17.0,19.0,18.0,13.0,,17.0,2,15.0,18.0,16.0,22.0,,13.0,19.0,10.0,
3.0,18.0,14.0,8.0,14.0,6.0,21.0,19.0,,11.0,1,11.0,16.0,15.0,22.0,,12.0,15.0,15.0,
2.0,11.0,16.0,20.0,9.0,10.0,16.0,9.0,,16.0,3,15.0,21.0,17.0,17.0,,16.0,19.0,6.0,
1.0,18.0,12.0,11.0,11.0,18.0,19.0,10.0,,15.0,9,12.0,18.0,15.0,5.0,,18.0,18.0,10.0,
19.0,15.0,14.0,20.0,7.0,10.0,22.0,12.0,,9.0,18,16.0,21.0,16.0,8.0,,4.0,16.0,16.0,
10.0,8.0,12.0,9.0,11.0,10.0,19.0,16.0,,3.0,2,19.0,12.0,19.0,12.0,,18.0,11.0,8.0,
1.0,16.0,16.0,6.0,15.0,9.0,18.0,14.0,,10.0,4,13.0,13.0,18.0,19.0,,12.0,15.0,6.0,
1.0,4.0,20.0,11.0,20.0,19.0,21.0,17.0,,16.0,6,16.0,10.0,14.0,8.0,,19.0,16.0,11.0,
5.0,8.0,15.0,18.0,17.0,15.0,20.0,17.0,,14.0,3,10.0,10.0,11.0,20.0,,7.0,14.0,4.0,
2.0,12.0,15.0,9.0,10.0,20.0,9.0,11.0,,11.0,18,18.0,10.0,16.0,6.0,,11.0,18.0,20.0,
3.0,8.0,13.0,11.0,8.0,18.0,12.0,9.0,,7.0,18,13.0,7.0,15.0,5.0,,20.0,11.0,4.0,
7.0,9.0,12.0,10.0,16.0,11.0,17.0,10.0,,8.0,9,18.0,5.0,14.0,1.0,,11.0,19.0,4.0,
3.0,10.0,17.0,7.0,10.0,9.0,15.0,16.0,,8.0,15,18.0,12.0,20.0,5.0,,13.0,14.0,1.0,
12.0,4.0,16.0,8.0,11.0,7.0,13.0,7.0,,16.0,3,9.0,6.0,17.0,6.0,,14.0,18.0,1.0,
1.0,9.0,15.0,11.0,13.0,18.0,17.0,13.0,,11.0,3,10.0,6.0,16.0,9.0,,6.0,17.0,4.0,
5.0,9.0,8.0,20.0,8.0,15.0,14.0,19.0,,6.0,3,15.0,8.0,16.0,4.0,,9.0,18.0,2.0,
3.0,16.0,21.0,7.0,2.0,7.0,11.0,11.0,,16.0,1,14.0,8.0,17.0,8.0,,14.0,,2.0,
2.0,10.0,5.0,8.0,11.0,7.0,13.0,9.0,,18.0,3,14.0,9.0,12.0,16.0,,13.0,,1.0,
2.0,6.0,8.0,8.0,11.0,7.0,13.0,18.0,,14.0,3,14.0,9.0,17.0,19.0,,19.0,,5.0,
2.0,8.0,8.0,3.0,20.0,5.0,15.0,9.0,,14.0,19,5.0,6.0,15.0,18.0,,11.0,,3.0,
2.0,19.0,7.0,5.0,11.0,3.0,9.0,12.0,,14.0,8,16.0,10.0,16.0,21.0,,12.0,,1.0,
1.0,1.0,5.0,13.0,3.0,5.0,12.0,6.0,,8.0,5,9.0,10.0,18.0,19.0,,10.0,,7.0,
1.0,18.0,16.0,5.0,9.0,5.0,9.0,8.0,,11.0,4,14.0,6.0,12.0,4.0,,13.0,,2.0,
3.0,4.0,7.0,9.0,22.0,5.0,10.0,9.0,,17.0,1,17.0,6.0,18.0,18.0,,16.0,,7.0,
3.0,8.0,3.0,10.0,6.0,20.0,9.0,21.0,,20.0,1,14.0,5.0,17.0,13.0,,11.0,,2.0,
9.0,2.0,2.0,7.0,14.0,3.0,13.0,8.0,,17.0,14,17.0,18.0,19.0,15.0,,8.0,,1.0,
1.0,2.0,2.0,4.0,21.0,3.0,10.0,8.0,,14.0,2,16.0,8.0,14.0,1.0,,6.0,,4.0,
5.0,5.0,8.0,6.0,2.0,2.0,12.0,8.0,,12.0,2,18.0,12.0,11.0,2.0,,17.0,,3.0,
2.0,3.0,3.0,15.0,10.0,3.0,13.0,14.0,,17.0,3,16.0,10.0,18.0,4.0,,6.0,,1.0,
4.0,11.0,4.0,16.0,22.0,17.0,19.0,20.0,,17.0,1,17.0,11.0,20.0,18.0,,5.0,,3.0,
1.0,7.0,11.0,13.0,11.0,4.0,18.0,15.0,,13.0,3,11.0,19.0,14.0,3.0,,8.0,,21.0,
19.0,6.0,6.0,8.0,24.0,1.0,7.0,14.0,,9.0,1,10.0,16.0,16.0,1.0,,10.0,,2.0,
7.0,2.0,3.0,8.0,15.0,1.0,16.0,11.0,,14.0,1,15.0,6.0,16.0,2.0,,7.0,,3.0,
20.0,2.0,5.0,4.0,11.0,2.0,10.0,17.0,,15.0,3,10.0,9.0,12.0,17.0,,4.0,,1.0,
7.0,20.0,10.0,10.0,24.0,3.0,18.0,6.0,,17.0,22,20.0,19.0,9.0,20.0,,14.0,,2.0,
6.0,4.0,3.0,5.0,11.0,6.0,15.0,16.0,,14.0,2,16.0,6.0,15.0,3.0,,6.0,,1.0,
4.0,3.0,18.0,4.0,9.0,4.0,8.0,6.0,,12.0,5,13.0,7.0,14.0,8.0,,9.0,,2.0,
9.0,4.0,5.0,,11.0,4.0,12.0,18.0,,18.0,4,16.0,8.0,,4.0,,11.0,,2.0,
12.0,5.0,6.0,,6.0,18.0,13.0,8.0,,13.0,5,12.0,13.0,,1.0,,8.0,,1.0,
13.0,3.0,4.0,,9.0,3.0,10.0,7.0,,9.0,20,,6.0,,4.0,,14.0,,1.0,
16.0,18.0,4.0,,16.0,2.0,7.0,16.0,,14.0,3,,6.0,,1.0,,7.0,,1.0,
18.0,5.0,14.0,,11.0,19.0,22.0,10.0,,12.0,3,,20.0,,4.0,,9.0,,1.0,
1.0,19.0,3.0,,20.0,11.0,19.0,7.0,,9.0,16,,9.0,,17.0,,16.0,,5.0,
2.0,5.0,5.0,,8.0,3.0,13.0,6.0,,19.0,5,,9.0,,1.0,,2.0,,2.0,
19.0,18.0,5.0,,9.0,4.0,10.0,20.0,,16.0,3,,19.0,,6.0,,18.0,,5.0,
12.0,18.0,13.0,,11.0,20.0,16.0,8.0,,9.0,15,,11.0,,3.0,,7.0,,14.0,
1.0,20.0,9.0,,12.0,14.0,11.0,17.0,,13.0,21,,15.0,,2.0,,15.0,,2.0,
3.0,4.0,4.0,,8.0,18.0,10.0,19.0,,14.0,2,,17.0,,22.0,,20.0,,19.0,
3.0,5.0,5.0,,10.0,8.0,22.0,7.0,,13.0,21,,8.0,,4.0,,7.0,,2.0,
19.0,19.0,5.0,,15.0,6.0,16.0,10.0,,4.0,5,,18.0,,1.0,,11.0,,1.0,
3.0,10.0,12.0,,5.0,7.0,4.0,14.0,,17.0,5,,14.0,,7.0,,9.0,,2.0,
6.0,19.0,19.0,,9.0,4.0,4.0,4.0,,10.0,8,,6.0,,3.0,,8.0,,3.0,
6.0,1.0,3.0,,7.0,5.0,3.0,19.0,,12.0,9,,8.0,,3.0,,1.0,,1.0,
2.0,2.0,5.0,,6.0,4.0,3.0,20.0,,13.0,3,,13.0,,15.0,,20.0,,1.0,
14.0,4.0,13.0,,10.0,10.0,1.0,7.0,,11.0,16,,5.0,,4.0,,9.0,,1.0,
5.0,1.0,8.0,,22.0,20.0,8.0,16.0,,9.0,1,,8.0,,2.0,,6.0,,2.0,
1.0,5.0,9.0,,3.0,13.0,3.0,11.0,,12.0,1,,14.0,,1.0,,5.0,,4.0,
1.0,5.0,10.0,,9.0,6.0,6.0,19.0,,13.0,11,,7.0,,17.0,,20.0,,1.0,
2.0,6.0,4.0,,9.0,,1.0,10.0,,19.0,1,,18.0,,1.0,,13.0,,17.0,
2.0,19.0,5.0,,21.0,,1.0,11.0,,20.0,8,,8.0,,1.0,,6.0,,11.0,
4.0,5.0,12.0,,11.0,,5.0,9.0,,18.0,2,,19.0,,1.0,,11.0,,1.0,
20.0,16.0,3.0,,6.0,,3.0,5.0,,7.0,3,,11.0,,1.0,,8.0,,2.0,
1.0,3.0,6.0,,11.0,,4.0,7.0,,4.0,20,,9.0,,2.0,,17.0,,1.0,
23.0,9.0,9.0,,10.0,,7.0,10.0,,9.0,1,,2.0,,1.0,,,,11.0,
19.0,3.0,14.0,,19.0,,3.0,8.0,,6.0,1,,9.0,,1.0,,,,2.0,
5.0,2.0,9.0,,8.0,,18.0,8.0,,4.0,4,,13.0,,1.0,,,,2.0,
2.0,1.0,9.0,,7.0,,4.0,12.0,,9.0,1,,,,2.0,,,,2.0,
4.0,15.0,8.0,,7.0,,6.0,17.0,,3.0,2,,,,1.0,,,,3.0,
2.0,4.0,6.0,,10.0,,10.0,12.0,,13.0,1,,,,2.0,,,,3.0,
2.0,19.0,20.0,,10.0,,9.0,9.0,,20.0,2,,,,4.0,,,,1.0,
8.0,3.0,5.0,,17.0,,6.0,11.0,,20.0,20,,,,2.0,,,,3.0,
1.0,5.0,10.0,,15.0,,7.0,8.0,,13.0,17,,,,1.0,,,,7.0,
4.0,2.0,16.0,,7.0,,5.0,8.0,,9.0,20,,,,1.0,,,,6.0,
2.0,5.0,8.0,,10.0,,13.0,17.0,,19.0,8,,,,1.0,,,,4.0,
6.0,3.0,11.0,,13.0,,10.0,10.0,,3.0,11,,,,3.0,,,,4.0,
24.0,2.0,21.0,,11.0,,15.0,7.0,,10.0,13,,,,1.0,,,,12.0,
4.0,1.0,3.0,,8.0,,3.0,19.0,,10.0,18,,,,1.0,,,,5.0,
4.0,2.0,6.0,,13.0,,18.0,12.0,,,5,,,,24.0,,,,13.0,
1.0,3.0,3.0,,7.0,,8.0,6.0,,,6,,,,2.0,,,,16.0,
4.0,3.0,1.0,,11.0,,2.0,20.0,,,7,,,,2.0,,,,2.0,
22.0,4.0,17.0,,9.0,,15.0,19.0,,,2,,,,11.0,,,,10.0,
4.0,4.0,4.0,,9.0,,15.0,14.0,,,20,,,,5.0,,,,3.0,
5.0,4.0,2.0,,19.0,,10.0,7.0,,,20,,,,1.0,,,,3.0,
5.0,3.0,2.0,,5.0,,5.0,8.0,,,1,,,,6.0,,,,16.0,
2.0,4.0,1.0,,6.0,,11.0,6.0,,,19,,,,4.0,,,,16.0,
7.0,5.0,2.0,,7.0,,6.0,11.0,,,3,,,,4.0,,,,4.0,
1.0,4.0,3.0,,12.0,,4.0,6.0,,,6,,,,21.0,,,,5.0,
22.0,1.0,5.0,,3.0,,4.0,8.0,,,2,,,,3.0,,,,4.0,
3.0,5.0,2.0,,5.0,,4.0,6.0,,,3,,,,5.0,,,,7.0,
3.0,1.0,3.0,,8.0,,11.0,5.0,,,1,,,,4.0,,,,3.0,
3.0,2.0,5.0,,12.0,,4.0,5.0,,,2,,,,2.0,,,,3.0,
8.0,20.0,4.0,,5.0,,2.0,19.0,,,2,,,,22.0,,,,6.0,
8.0,8.0,5.0,,13.0,,7.0,20.0,,,20,,,,1.0,,,,2.0,
5.0,3.0,2.0,,16.0,,7.0,12.0,,,2,,,,1.0,,,,16.0,
1.0,4.0,2.0,,11.0,,5.0,6.0,,,2,,,,1.0,,,,5.0,
19.0,18.0,1.0,,9.0,,4.0,5.0,,,6,,,,1.0,,,,4.0,
8.0,6.0,8.0,,7.0,,3.0,13.0,,,20,,,,3.0,,,,4.0,
24.0,3.0,2.0,,3.0,,2.0,8.0,,,4,,,,2.0,,,,18.0,
1.0,1.0,2.0,,10.0,,2.0,3.0,,,3,,,,6.0,,,,18.0,
23.0,2.0,14.0,,3.0,,5.0,10.0,,,19,,,,3.0,,,,4.0,
1.0,20.0,2.0,,17.0,,2.0,5.0,,,2,,,,1.0,,,,1.0,
24.0,3.0,5.0,,6.0,,1.0,9.0,,,4,,,,4.0,,,,8.0,
5.0,2.0,2.0,,11.0,,6.0,9.0,,,2,,,,1.0,,,,15.0,
10.0,2.0,7.0,,10.0,,3.0,13.0,,,2,,,,4.0,,,,18.0,
4.0,1.0,19.0,,5.0,,3.0,13.0,,,3,,,,2.0,,,,12.0,
21.0,2.0,4.0,,8.0,,8.0,6.0,,,18,,,,1.0,,,,13.0,
1.0,3.0,2.0,,8.0,,5.0,20.0,,,12,,,,21.0,,,,19.0,
20.0,17.0,5.0,,6.0,,17.0,2.0,,,14,,,,1.0,,,,22.0,
5.0,19.0,4.0,,7.0,,4.0,18.0,,,18,,,,3.0,,,,13.0,
3.0,2.0,3.0,,8.0,,5.0,19.0,,,20,,,,1.0,,,,15.0,
3.0,2.0,4.0,,10.0,,17.0,5.0,,,19,,,,1.0,,,,13.0,
5.0,3.0,2.0,,4.0,,3.0,6.0,,,4,,,,1.0,,,,19.0,
12.0,17.0,2.0,,8.0,,3.0,7.0,,,3,,,,1.0,,,,14.0,
4.0,6.0,5.0,,7.0,,3.0,5.0,,,14,,,,1.0,,,,17.0,
